,Hits
ERR3586808,4253
ERR3586809,5152
ERR3586810,5258
ERR3586811,5158
ERR3586812,5078
ERR3586813,4774
ERR3586814,4768
ERR3586815,4720
ERR3586816,4747
ERR3586817,2950
ERR3586818,2915
ERR3586819,2986
ERR3586820,3024
ERR3586821,4195
ERR3586822,4126
ERR3586823,4168
ERR3586824,4183
ERR3586825,6288
ERR3586826,6091
ERR3586827,6237
ERR3586828,6114
ERR3586829,3479
ERR3586830,1596
ERR3586831,1638
ERR3586832,3335
ERR3586833,22063
ERR3586834,3010
ERR3586835,3099
ERR3586836,2970
ERR3586837,3014
ERR3586838,3053
ERR3586839,2994
ERR3586840,6208
ERR3586841,6308
ERR3586842,6101
ERR3586843,6019
ERR3586844,6236
ERR3586845,6085
ERR3586846,10839
ERR3586847,10969
ERR3586848,10539
ERR3586849,10670
ERR3586850,10922
ERR3586851,10669
ERR3586852,6599
ERR3586853,6742
ERR3586854,6441
ERR3586855,6592
ERR3586856,6680
ERR3586857,6445
ERR3586858,4434
ERR3586859,4514
ERR3586860,4539
ERR3586861,4483
ERR3586862,4574
ERR3586863,4637
ERR3586864,4702
ERR3586865,4477
ERR3586866,3099
ERR3586867,3218
ERR3586868,3122
ERR3586869,3007
ERR3586870,3099
ERR3586871,3192
ERR3586872,3167
ERR3586873,3047
ERR3586874,4658
ERR3586875,4709
ERR3586876,4789
ERR3586877,4781
ERR3586878,4729
ERR3586879,4848
ERR3586880,4787
ERR3586881,4859
ERR3586882,3595
ERR3586883,3647
ERR3586884,3577
ERR3586885,3683
ERR3586886,3639
ERR3586887,3692
ERR3586888,3762
ERR3586889,3697
ERR3586890,16816
ERR3586891,9374
ERR3586892,16341
ERR3586893,33752
ERR3586894,20335
ERR3586895,22390
ERR3586896,11193
ERR3586897,30485
ERR3586898,23696
ERR3586899,2331
ERR3586900,20812
ERR3586901,13927
ERR3586902,8110
ERR3586903,2014
ERR3586904,2028
ERR3586905,1979
ERR3586906,1808
ERR3586907,1948
ERR3586908,1880
ERR3586909,1955
ERR3586910,1885
ERR3586911,3018
ERR3586912,3002
ERR3586913,2988
ERR3586914,2961
ERR3586915,2958
ERR3586916,2945
ERR3586917,2910
ERR3586918,2834
ERR3586919,5311
ERR3586920,5219
ERR3586921,5031
ERR3586922,4988
ERR3586923,5121
ERR3586924,5067
ERR3586925,5110
ERR3586926,4828
ERR3586927,1984
ERR3586928,1987
ERR3586929,1932
ERR3586930,1871
ERR3586931,1924
ERR3586932,1937
ERR3586933,1926
ERR3586934,1823
ERR3586935,16839
ERR3586936,14813
ERR3586937,14798
ERR3586938,12693
ERR3586939,16085
ERR3586940,7738
ERR3586941,9738
ERR3586942,22033
ERR3586943,12996
ERR3586944,5558
ERR3586945,11407
ERR3586946,13072
ERR3586947,25863
ERR3586948,7746
ERR3586949,11530
ERR3586950,11308
ERR3586951,13335
ERR3586952,11107
ERR3586953,10470
ERR3586954,5285
ERR3586955,11762
ERR3586956,11381
ERR3586957,18320
ERR3586958,6661
ERR3586959,6320
ERR3586960,17837
ERR3586961,24737
ERR3586962,13612
ERR3586963,13393
ERR3586964,17750
ERR3586965,17825
ERR3586966,14623
ERR3586967,18869
ERR3586968,20684
ERR3586969,10312
ERR3586970,19290
ERR3586971,23393
ERR3586972,13960
ERR3586973,9093
ERR3586974,15192
ERR3586975,17492
ERR3586976,18344
ERR3586977,11493
ERR3586978,15320
ERR3586979,15965
ERR3586980,10160
ERR3586981,19806
ERR3586982,2428
ERR3586983,14570
ERR3586984,13641
ERR3586985,30091
ERR3586986,23867
ERR3586987,4541
ERR3586988,24875
ERR3586989,29493
ERR3586990,23959
ERR3586991,2444
ERR3586992,4422
ERR3586993,4478
ERR3586994,4030
ERR3586995,4368
ERR3586996,2552
ERR3586997,3658
ERR3586998,6099
ERR3586999,2784
ERR3587000,2774
ERR3587001,6411
ERR3587002,4491
ERR3587003,3608
ERR3587004,7451
ERR3587005,2058
ERR3587006,4870
ERR3587007,800
ERR3587008,1155
ERR3587009,3927
ERR3587010,2194
ERR3587011,2094
ERR3587012,3117
ERR3587013,4299
ERR3587014,2594
ERR3587015,3744
ERR3587016,7002
ERR3587017,11828
ERR3587018,2419
ERR3587019,2356
ERR3587020,7403
ERR3587021,3185
ERR3587022,5822
ERR3587023,2193
ERR3587024,4812
ERR3587025,10272
ERR3587026,5218
ERR3587027,4713
ERR3587028,3885
ERR3587029,8081
ERR3587030,4538
ERR3587031,3066
ERR3587032,6072
ERR3587033,5398
ERR3587034,4035
ERR3587035,3351
ERR3587036,4957
ERR3587037,3091
ERR3587038,2995
ERR3587039,3225
ERR3587040,4020
ERR3587041,4473
ERR3587042,5194
ERR3587043,1866
ERR3587044,3259
ERR3587045,6809
ERR3587046,4295
ERR3587047,3421
ERR3587048,3887
ERR3587049,3047
ERR3587050,7422
ERR3587051,3626
ERR3587052,2641
ERR3587053,4475
ERR3587054,2016
ERR3587055,3670
ERR3587056,1996
ERR3587057,3017
ERR3587058,1794
ERR3587059,3053
ERR3587060,3528
ERR3587061,5721
ERR3587062,4040
ERR3587063,2509
ERR3587064,3583
ERR3587065,8860
ERR3587066,4872
ERR3587067,6544
ERR3587068,3931
ERR3587069,11723
ERR3587070,1785
ERR3587071,6778
ERR3587072,4694
ERR3587073,4693
ERR3587074,4280
ERR3587075,3248
ERR3587076,2577
ERR3587077,5635
ERR3587078,7248
ERR3587079,5379
ERR3587080,1011
ERR3587081,4915
ERR3587082,7401
ERR3587083,5124
ERR3587084,7207
ERR3587085,5529
ERR3587086,4024
ERR3587087,3559
ERR3587088,5195
ERR3587089,4643
ERR3587090,3988
ERR3587091,6119
ERR3587092,3135
ERR3587093,4546
ERR3587094,6119
ERR3587095,2370
ERR3587096,3898
ERR3587097,3969
ERR3587098,5167
ERR3587099,2676
ERR3587100,3826
ERR3587101,4797
ERR3587102,2914
ERR3587103,5263
ERR3587104,4268
ERR3587105,3937
ERR3587106,16003
ERR3587107,44040
ERR3587108,15674
ERR3587109,36199
ERR3587110,30702
ERR3587111,20071
ERR3587112,17120
ERR3587113,21436
ERR3587114,23023
ERR3587115,27716
ERR3587116,21226
ERR3587117,13134
ERR3587118,37850
ERR3587119,19136
ERR3587120,16938
ERR3587121,14164
ERR3587122,64426
ERR3587123,19805
ERR3587124,20155
ERR3587125,20248
ERR3587126,53548
ERR3587127,28937
ERR3587128,24356
ERR3587129,54709
ERR3587130,13461
ERR3587131,33065
ERR3587132,57964
ERR3587133,34444
ERR3587134,26014
ERR3587135,16857
ERR3587136,14634
ERR3587137,22248
ERR3587138,18247
ERR3587139,26553
ERR3587140,14098
ERR3587141,42342
ERR3587142,23341
ERR3587143,15753
ERR3587144,17975
ERR3587145,42913
ERR3587146,47301
ERR3587147,38610
ERR3587148,34303
ERR3587149,37355
ERR3587150,32470
ERR3587151,4894
ERR3587152,4729
ERR3587153,3509
ERR3587154,5543
ERR3587155,12438
ERR3587156,8017
ERR3587157,17297
ERR3587158,10766
ERR3587159,9520
ERR3587160,12845
ERR3587161,7600
ERR3587162,8768
ERR3587163,15585
ERR3587164,3235
ERR3587165,8086
ERR3587166,6206
ERR3587167,3921
ERR3587168,9973
ERR3587169,9569
ERR3587170,2960
ERR3587171,4975
ERR3587172,10980
ERR3587173,5880
ERR3587174,13571
ERR3587175,4518
ERR3587176,5974
ERR3587177,5624
ERR3587178,5324
ERR3587179,3745
ERR3587180,9692
ERR3587181,3707
ERR3587182,7797
ERR3587183,9818
ERR3587184,6142
ERR3587185,4198
ERR3587186,4680
ERR3587187,4724
ERR3587188,4299
ERR3587189,14674
ERR3587190,4905
ERR3587191,5218
ERR3587192,7554
ERR3587193,4004
ERR3587194,8102
ERR3587195,3495
ERR3587196,6272
ERR3587197,17160
ERR3587198,13201
ERR3587199,12325
ERR3587200,15269
ERR3587201,3407
ERR3587202,2241
ERR3587203,2622
ERR3587204,2981
